id, time, values
1, 22:01:26, 1177.4
2, 22:01:27, 2728.6
3, 22:01:28, 102.4
1, 22:01:29, 1627.0
2, 22:01:30, 2118.8
3, 22:01:31, 2143.6
1, 22:01:32, 829.8
2, 22:01:33, 1983.4
3, 22:01:34, 464.6
1, 22:01:35, 733.4
2, 22:01:36, 1110.2
3, 22:01:37, 551.0
1, 22:01:38, 2555.8
2, 22:01:39, 1891.2
3, 22:01:40, 1333.8
1, 22:01:41, 2800.2
2, 22:01:42, 2016.4
3, 22:01:43, 272.0
1, 22:01:44, 32.2
2, 22:01:45, 2280.2
3, 22:01:46, 1555.8
1, 22:01:47, 1021.2
2, 22:01:48, 1528.6
3, 22:01:49, 1466.4
1, 22:01:50, 1839.4
2, 22:01:51, 2846.8
3, 22:01:52, 1774.2
1, 22:01:53, 645.2
2, 22:01:54, 1950.0
3, 22:01:55, 1141.8
1, 22:01:56, 2371.6
2, 22:01:57, 2406.8
3, 22:01:58, 539.8
1, 22:01:59, 214.2
2, 22:02:00, 1237.4
3, 22:02:01, 93.4
1, 22:02:02, 2172.4
2, 22:02:03, 105.4
3, 22:02:04, 1308.6
1, 22:02:05, 1969.8
2, 22:02:06, 2172.8
3, 22:02:07, 2156.2
1, 22:02:08, 340.2
2, 22:02:09, 1180.2
3, 22:02:10, 2071.8
1, 22:02:11, 1659.6
2, 22:02:12, 1856.8
3, 22:02:13, 1306.8
1, 22:02:14, 249.8
2, 22:02:15, 689.8
3, 22:02:16, 286.6
1, 22:02:17, 2852.2
2, 22:02:18, 2115.4
3, 22:02:19, 1087.4
1, 22:02:20, 2362.6
2, 22:02:21, 916.8
3, 22:02:22, 334.6
1, 22:02:23, 584.8
2, 22:02:24, 796.6
3, 22:02:25, 1576.8
1, 22:02:26, 2393.8
2, 22:02:27, 1942.8
3, 22:02:28, 116.4
1, 22:02:29, 2056.0
2, 22:02:30, 2707.0
3, 22:02:31, 2977.8
1, 22:02:32, 334.8
2, 22:02:33, 2371.2
3, 22:02:34, 1569.6
1, 22:02:35, 2222.2
2, 22:02:36, 1408.6
3, 22:02:37, 2923.0
1, 22:02:38, 471.6
2, 22:02:39, 2547.2
3, 22:02:40, 765.2
1, 22:02:41, 1801.8
2, 22:02:42, 1306.2
3, 22:02:43, 738.6
1, 22:02:44, 283.0
2, 22:02:45, 44.8
3, 22:02:46, 2306.4
1, 22:02:47, 1980.2
2, 22:02:48, 218.0
3, 22:02:49, 420.2
1, 22:02:50, 69.0
2, 22:02:51, 1039.2
3, 22:02:52, 2231.6
1, 22:02:53, 82.0
2, 22:02:54, 2442.4
3, 22:02:55, 1554.0
